タイトル,動画URL,再生回数,チャンネル登録者数,再生回数/チャンネル登録者数,登録日付
[モンハンライズ]クエスト消化したり装備作ったり[天月六夜],https://www.youtube.com/watch?v=Gi23MAv-gPs,20,183,10,2021/03/29
【Soraru Amatsuki  English】Amatsuki is Mafumafu ... ?【そらる/天月】,https://www.youtube.com/watch?v=IHpgqUcg4j4,1170,1160,100,2021/03/29
【合わせてみた】ヴァンパイア(ころん×天月),https://www.youtube.com/watch?v=PxG2RF-RPyU,6,1,600,2021/03/29
【1周年歌みたリレー】月曜日の憂鬱 -天月/Covered byかず,https://www.youtube.com/watch?v=HAyh2Zsw_oc,8,64,12,2021/03/29
ヴァンパイア合わせてみた【天月×そらる×ころん】,https://www.youtube.com/watch?v=ghyPg6TzPgA,226,786,28,2021/03/29
【合わせてみた】KING【葛葉】【めいちゃん】【Gero】【天月】【そらる】【少年T】【あほの坂田。】【志麻】【Kanaria】,https://www.youtube.com/watch?v=U8AJqO-dN04,42,50,84,2021/03/29
グッバイ宣言　るぅと×天月,https://www.youtube.com/watch?v=H7riPXBR3Rc,16,16,100,2021/03/29
【お試し】生放送！ #4【アクション】天月刹那の「モンスターハンターライズ 体験版」【Live】,https://www.youtube.com/watch?v=JOvCGtI0q68,25,29,86,2021/03/29
ヴァンパイア合わせてみた【天月×ころん】,https://www.youtube.com/watch?v=QaExeppfosc,550,786,69,2021/03/29
ヴァンパイア/ころん×天月【合わせてみた】,https://www.youtube.com/watch?v=Ho33ykdKTfg,31,7,442,2021/03/29
ヴァンパイア【合わせてみた】ころん×天月,https://www.youtube.com/watch?v=msHU5inGSMQ,20,6,333,2021/03/29
[モンハンライズ]前回と同じメンバーで一狩り行く[天月六夜/雪下小花/貝原やこう/赤場黒亜],https://www.youtube.com/watch?v=-d_n5om4gvQ,33,183,18,2021/03/29
中級クラスでヴィラン踊ってみた | ヴィラン(villain)/天月 | dance video,https://www.youtube.com/watch?v=ccVh91mqLiY,259,746,34,2021/03/29
【Vtuber不專業熟肉】一群男人在搶男人...?【律可/天月/黛灰/江口拓也】,https://www.youtube.com/watch?v=_nXeHBn50QM,6792,3630,187,2021/03/28
【モンスターハンターライズ】ガルグを愛でる配信【天月カハク】,https://www.youtube.com/watch?v=3_xqj2WlvlA,9,66,13,2021/03/28
ひまわりの約束【天月】,https://www.youtube.com/watch?v=6HeeCKVfcIA,4,5,80,2021/03/28
【1周年歌みたリレー】イデア - 天月/Covered byかず,https://www.youtube.com/watch?v=AATHBkeqOmo,7,64,10,2021/03/28
【ゼロリーグ】フレカレディカさんと天月六夜さんとゼロリーグ！！常識問題でまさかの！？ 後編＃25,https://www.youtube.com/watch?v=BlWaqraNvdk,248,182,136,2021/03/28
月曜日の憂鬱/天月feat.HoneyWorks (Covered by れあん),https://www.youtube.com/watch?v=PQt4Y_Kpjjo,15,15,100,2021/03/28
天月橋  Dreamy Oriental Music  美景音樂台RELAXING MUSIC WITH BEAUTIFUL SCENERY,https://www.youtube.com/watch?v=yW7UyLEaiHs,3,19,15,2021/03/28
#かいしんのいちげき　莉犬×るぅと×天月,https://www.youtube.com/watch?v=NWV90PK3Ris,13,16,81,2021/03/28
【APEX】ランクマリセット！ゴールドマッチ！【天月こよみ/Vtuber】,https://www.youtube.com/watch?v=-PjwLx-vYzI,154,1480,10,2021/03/27
【1周年歌みたリレー】きみだけは。- 天月/Covered byかず,https://www.youtube.com/watch?v=rFc76CC3OD4,9,64,14,2021/03/27
【まふ月】メンヘラを抑えられず暴走するまふまふ【手描き】,https://www.youtube.com/watch?v=iOc27enAlhY,3954,86,4597,2021/03/27
【ゼロリーグ】フレカレディカさんと天月六夜さんとゼロリーグ！！この中にカイジがおるよ！笑笑 前編＃24,https://www.youtube.com/watch?v=nIeX6wADp9I,375,182,206,2021/03/27
スターライトパレード 天月×fukase 　画像メドレー。,https://www.youtube.com/watch?v=7mEHt79rtYE,53,1,5300,2021/03/27
オネエ縛りUNO 律可/天月/黛灰/江口拓也【にじさんじ切り抜き】,https://www.youtube.com/watch?v=5STOyFs14Vo,124,6,2066,2021/03/27
生放送！ #1【アクション】天月刹那の「モンスターハンターライズ 」【Live】,https://www.youtube.com/watch?v=349la92HvYI,29,29,100,2021/03/27
